Hand,Fold,Call,Raise6.5,Allin75
22,97,3,0,0
32o,100,0,0,0
32s,100,0,0,0
33,96.5,3.5,0,0
42o,100,0,0,0
42s,100,0,0,0
43o,100,0,0,0
43s,100,0,0,0
44,95.5,4.5,0,0
52o,100,0,0,0
52s,100,0,0,0
53o,100,0,0,0
53s,100,0,0,0
54o,100,0,0,0
54s,94.5,5.5,0,0
55,90,6,4,0
62o,100,0,0,0
62s,100,0,0,0
63o,100,0,0,0
63s,100,0,0,0
64o,100,0,0,0
64s,100,0,0,0
65o,100,0,0,0
65s,98,2,0,0
66,67.8,14.6,17.6,0
72o,100,0,0,0
72s,100,0,0,0
73o,100,0,0,0
73s,100,0,0,0
74o,100,0,0,0
74s,100,0,0,0
75o,100,0,0,0
75s,100,0,0,0
76o,100,0,0,0
76s,100,0,0,0
77,55,21,24,0
82o,100,0,0,0
82s,100,0,0,0
83o,100,0,0,0
83s,100,0,0,0
84o,100,0,0,0
84s,100,0,0,0
85o,100,0,0,0
85s,100,0,0,0
86o,100,0,0,0
86s,100,0,0,0
87o,100,0,0,0
87s,100,0,0,0
88,48.3,25.4,26.4,0
92o,100,0,0,0
92s,100,0,0,0
93o,100,0,0,0
93s,100,0,0,0
94o,100,0,0,0
94s,100,0,0,0
95o,100,0,0,0
95s,100,0,0,0
96o,100,0,0,0
96s,100,0,0,0
97o,100,0,0,0
97s,100,0,0,0
98o,100,0,0,0
98s,98,2,0,0
99,0,39.5,60.5,0
A2o,100,0,0,0
A2s,100,0,0,0
A3o,100,0,0,0
A3s,94.5,0.5,5,0
A4o,100,0,0,0
A4s,0,11,89,0
A5o,100,0,0,0
A5s,0,17,83,0
A6o,100,0,0,0
A6s,100,0,0,0
A7o,100,0,0,0
A7s,27,0,73,0
A8o,100,0,0,0
A8s,30.5,6.5,63,0
A9o,100,0,0,0
A9s,41,5.5,53.5,0
AA,0,0,100,0
AJo,10,0,90,0
AJs,0,55.5,44.5,0
AKo,0,1.5,98.5,0
AKs,0,0,100,0
AQo,0,12,88,0
AQs,0,8.5,91.5,0
ATo,100,0,0,0
ATs,0,39,61,0
J2o,100,0,0,0
J2s,100,0,0,0
J3o,100,0,0,0
J3s,100,0,0,0
J4o,100,0,0,0
J4s,100,0,0,0
J5o,100,0,0,0
J5s,100,0,0,0
J6o,100,0,0,0
J6s,100,0,0,0
J7o,100,0,0,0
J7s,100,0,0,0
J8o,100,0,0,0
J8s,100,0,0,0
J9o,100,0,0,0
J9s,100,0,0,0
JJ,0,26,74,0
JTo,100,0,0,0
JTs,86,14,0,0
K2o,100,0,0,0
K2s,100,0,0,0
K3o,100,0,0,0
K3s,100,0,0,0
K4o,100,0,0,0
K4s,100,0,0,0
K5o,100,0,0,0
K5s,99,0,1,0
K6o,100,0,0,0
K6s,96,0,4,0
K7o,100,0,0,0
K7s,100,0,0,0
K8o,100,0,0,0
K8s,100,0,0,0
K9o,100,0,0,0
K9s,56.5,0,43.5,0
KJo,77,0,23,0
KJs,0,34.5,65.5,0
KK,0,0,100,0
KQo,0,0,100,0
KQs,0,50,50,0
KTo,100,0,0,0
KTs,0,14.5,85.5,0
Q2o,100,0,0,0
Q2s,100,0,0,0
Q3o,100,0,0,0
Q3s,100,0,0,0
Q4o,100,0,0,0
Q4s,100,0,0,0
Q5o,100,0,0,0
Q5s,100,0,0,0
Q6o,100,0,0,0
Q6s,100,0,0,0
Q7o,100,0,0,0
Q7s,100,0,0,0
Q8o,100,0,0,0
Q8s,100,0,0,0
Q9o,100,0,0,0
Q9s,100,0,0,0
QJo,100,0,0,0
QJs,0,12,88,0
QQ,0,3.5,96.5,0
QTo,100,0,0,0
QTs,0,8.5,91.5,0
T2o,100,0,0,0
T2s,100,0,0,0
T3o,100,0,0,0
T3s,100,0,0,0
T4o,100,0,0,0
T4s,100,0,0,0
T5o,100,0,0,0
T5s,100,0,0,0
T6o,100,0,0,0
T6s,100,0,0,0
T7o,100,0,0,0
T7s,100,0,0,0
T8o,100,0,0,0
T8s,100,0,0,0
T9o,100,0,0,0
T9s,100,0,0,0
TT,0,33,67,0
