Hand,Fold,Raise6,Allin50
22,100,0,0
32o,100,0,0
32s,100,0,0
33,100,0,0
42o,100,0,0
42s,100,0,0
43o,100,0,0
43s,100,0,0
44,100,0,0
52o,100,0,0
52s,100,0,0
53o,100,0,0
53s,100,0,0
54o,100,0,0
54s,100,0,0
55,100,0,0
62o,100,0,0
62s,100,0,0
63o,100,0,0
63s,100,0,0
64o,100,0,0
64s,100,0,0
65o,100,0,0
65s,94.6,5.4,0
66,87.8,12.2,0
72o,100,0,0
72s,100,0,0
73o,100,0,0
73s,100,0,0
74o,100,0,0
74s,100,0,0
75o,100,0,0
75s,100,0,0
76o,100,0,0
76s,98.4,1.6,0
77,86.4,13.6,0
82o,100,0,0
82s,100,0,0
83o,100,0,0
83s,100,0,0
84o,100,0,0
84s,100,0,0
85o,100,0,0
85s,100,0,0
86o,100,0,0
86s,100,0,0
87o,100,0,0
87s,100,0,0
88,85.2,14.8,0
92o,100,0,0
92s,100,0,0
93o,100,0,0
93s,100,0,0
94o,100,0,0
94s,100,0,0
95o,100,0,0
95s,100,0,0
96o,100,0,0
96s,100,0,0
97o,100,0,0
97s,100,0,0
98o,100,0,0
98s,100,0,0
99,64.6,35.4,0
A2o,100,0,0
A2s,100,0,0
A3o,100,0,0
A3s,77,23,0
A4o,100,0,0
A4s,7,93,0
A5o,100,0,0
A5s,0,100,0
A6o,100,0,0
A6s,70.6,29.4,0
A7o,100,0,0
A7s,73.2,26.8,0
A8o,100,0,0
A8s,77.8,22.2,0
A9o,100,0,0
A9s,24.4,75.6,0
AA,0,100,0
AJo,0,100,0
AJs,0,100,0
AKo,0,100,0
AKs,0,100,0
AQo,0,100,0
AQs,0,100,0
ATo,30.2,69.8,0
ATs,0,100,0
J2o,100,0,0
J2s,100,0,0
J3o,100,0,0
J3s,100,0,0
J4o,100,0,0
J4s,100,0,0
J5o,100,0,0
J5s,100,0,0
J6o,100,0,0
J6s,100,0,0
J7o,100,0,0
J7s,100,0,0
J8o,100,0,0
J8s,100,0,0
J9o,100,0,0
J9s,100,0,0
JJ,0,100,0
JTo,100,0,0
JTs,100,0,0
K2o,100,0,0
K2s,100,0,0
K3o,100,0,0
K3s,100,0,0
K4o,100,0,0
K4s,100,0,0
K5o,100,0,0
K5s,100,0,0
K6o,100,0,0
K6s,100,0,0
K7o,100,0,0
K7s,100,0,0
K8o,100,0,0
K8s,100,0,0
K9o,100,0,0
K9s,100,0,0
KJo,55,45,0
KJs,0,100,0
KK,0,100,0
KQo,0,100,0
KQs,0,100,0
KTo,100,0,0
KTs,13,87,0
Q2o,100,0,0
Q2s,100,0,0
Q3o,100,0,0
Q3s,100,0,0
Q4o,100,0,0
Q4s,100,0,0
Q5o,100,0,0
Q5s,100,0,0
Q6o,100,0,0
Q6s,100,0,0
Q7o,100,0,0
Q7s,100,0,0
Q8o,100,0,0
Q8s,100,0,0
Q9o,100,0,0
Q9s,100,0,0
QJo,100,0,0
QJs,100,0,0
QQ,0,100,0
QTo,100,0,0
QTs,100,0,0
T2o,100,0,0
T2s,100,0,0
T3o,100,0,0
T3s,100,0,0
T4o,100,0,0
T4s,100,0,0
T5o,100,0,0
T5s,100,0,0
T6o,100,0,0
T6s,100,0,0
T7o,100,0,0
T7s,100,0,0
T8o,100,0,0
T8s,100,0,0
T9o,100,0,0
T9s,100,0,0
TT,0,100,0
